cnpj,cnpj_basico,matriz_filial,nome_fantasia,razao_social,situacao_cadastral,situacao,data_situacao,data_inicio,ano_inicio,cnae_principal,cnae_descricao,cnae_secundaria,logradouro,numero,bairro,cep,municipio_codigo,municipio,uf,motivo_situacao,natureza_juridica,natureza_juridica_desc,capital_social,porte_codigo,porte,mei,optante_simples
02452888000129,02452888,Matriz,,J LUCIO DO NASCIMENTO,02,Ativa,2005-11-03,1997-11-24,1997,4721102,Padaria e confeitaria com predominância de revenda,,DOS OPERARIOS,50,CENTRO,26600000,5871,PARACAMBI,RJ,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
02453209000136,02453209,Matriz,,BAR E MERCEARIA ALCOBACINHA LTDA,02,Ativa,2005-10-22,1998-02-11,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,JOAO DE FARIAS,608,ITAMARATI,25710090,5877,PETROPOLIS,RJ,SEM MOTIVO,2062,Sociedade Empresária Limitada,"50000,00",01,Microempresa,Não MEI,Sim
02453282000108,02453282,Matriz,OS PARAIBAS,JOSE MARCILON DA SILVA,02,Ativa,2003-10-04,1997-03-17,1997,4721102,Padaria e confeitaria com predominância de revenda,,RAFI MIGUEL ACKEL,17,GUAIANASES,08431600,7107,SAO PAULO,SP,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
02453549000167,02453549,Matriz,KAIAMBA,RESTAURANTE KAIAMBA LTDA,02,Ativa,2005-11-03,1998-04-06,1998,5611201,Restaurantes e similares,,BR 367 KM 69,7000,TAPERAPOAN,45810000,3807,PORTO SEGURO,BA,SEM MOTIVO,2062,Sociedade Empresária Limitada,"293600,00",03,Empresa de pequeno porte,Não MEI,Sim
02453564000105,02453564,Matriz,CHOPERIA FM,ROSELIA APARECIDA PEREIRA & CIA LTDA,02,Ativa,2005-11-03,1998-03-27,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,TEN. FRANCISCO S. LIMA,16,CENTRO,37200000,4763,LAVRAS,MG,SEM MOTIVO,2062,Sociedade Empresária Limitada,"4000,00",01,Microempresa,Não MEI,Sim
02453874000120,02453874,Matriz,SULLENN PAES E DOCES,CLAUDIO OLIVEIRA MATOS,02,Ativa,2005-11-03,1998-04-02,1998,4721102,Padaria e confeitaria com predominância de revenda,,FELIXLANDIA,107,ERMIRIO DE MORAIS,39205000,4115,TRES MARIAS,MG,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Sim
02454083000114,02454083,Matriz,,T. SILVERIO ROBASSA LTDA,02,Ativa,2024-01-05,1998-03-18,1998,5611201,Restaurantes e similares,4744099,31 DE OUTUBRO,161,CENTRO,83350000,7709,MORRETES,PR,SEM MOTIVO,2062,Sociedade Empresária Limitada,"120000,00",01,Microempresa,Não MEI,Não
02454104000100,02454104,Matriz,ICY PULP,TABERNA DO SUCO BAR E LANCHONETE LTDA,02,Ativa,2005-11-03,1998-03-20,1998,5611203,"Lanchonetes, casas de chá, de sucos e similares",,PROF.JOSE DE SOUZA HERDY,1117,XXV DE AGOSTO,25070235,5833,DUQUE DE CAXIAS,RJ,SEM MOTIVO,2062,Sociedade Empresária Limitada,"0,00",01,Microempresa,Não MEI,Sim
02454285000166,02454285,Matriz,,CHURRASCARIA POTENCIA DO SUL LTDA,02,Ativa,2005-08-06,1998-04-06,1998,5611201,Restaurantes e similares,,SHIP AREA ESPECIAL CONJUNTO 21,SN,SETOR HIPICO,70610000,9701,BRASILIA,DF,SEM MOTIVO,2062,Sociedade Empresária Limitada,"100000,00",05,Demais,Não MEI,Não
02454873000108,02454873,Matriz,CONFRARIA UCHOA,C.M.A.C.UCHOA,02,Ativa,2023-01-30,1998-04-02,1998,5611201,Restaurantes e similares,,PADRE CIRILO CHAVES,1861,DOS NOIVOS,64045310,1219,TERESINA,PI,SEM MOTIVO,2135,Empresário (Individual),"0,00",01,Microempresa,Não MEI,Não
